	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d
	ElbowPower	ElbowPower	ElbowPower	ElbowPower	ElbowPower
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Z	Z	Z	Z	Z
1	-83.90370	-75.19584	-48.31575	-35.61796	-83.19575
2	-85.29247	-77.34386	-47.35097	-37.37616	-83.96513
3	-85.45941	-78.42143	-45.36044	-38.46901	-83.65331
4	-84.25597	-78.27379	-42.23155	-38.79639	-82.11980
5	-81.53100	-76.73462	-37.86815	-38.25286	-79.21355
6	-77.15471	-73.63268	-32.17670	-36.72067	-74.79701
7	-71.02266	-68.79797	-25.05916	-34.06654	-68.75941
8	-63.06000	-62.06244	-16.42318	-30.14674	-61.00734
9	-53.24347	-53.26109	-6.19932	-24.81776	-51.45567
10	-41.59579	-42.22525	5.64368	-17.95073	-40.02984
11	-28.15618	-28.76861	19.07952	-9.44446	-26.67175
12	-12.97415	-12.69988	34.00805	0.76006	-11.35205
13	3.87401	6.12040	50.25856	12.66207	5.91212
14	22.26327	27.73765	67.59575	26.19265	25.04329
15	42.01399	52.11324	85.71883	41.21328	45.90044
16	62.89570	79.11984	104.26824	57.51577	68.28859
17	84.59346	108.50072	122.81610	74.82484	91.95930
18	106.66164	139.85855	140.83890	92.79343	116.58659
19	128.53038	172.67212	157.73050	110.99640	141.73521
20	149.54535	206.30141	172.84311	128.93683	166.84831
21	168.99139	239.99744	185.52043	146.06075	191.26804
22	186.10812	272.94595	195.14551	161.78435	214.28117
23	200.12524	304.34210	201.17674	175.54510	235.17870
24	210.30362	333.47913	203.14603	186.85361	253.30293
25	215.97809	359.80344	200.65495	195.29617	268.08768
26	216.60875	382.88083	193.39908	200.49269	279.10599
27	211.77432	402.32468	181.22232	202.07959	286.08426
28	201.09904	417.74420	164.15033	199.72592	288.87271
29	184.29285	428.69922	142.38382	193.14516	287.35394
30	161.34462	434.70883	116.38305	182.07034	281.32959
31	132.62897	435.33170	87.08977	166.20973	270.52783
32	98.90830	430.32172	56.03423	145.34412	254.76443
33	61.41144	419.92709	25.16531	119.61639	234.22620
34	21.89094	405.15585	-3.40385	89.79499	209.76390
35	-17.50863	387.65659	-27.57008	57.29051	182.95233
36	-54.47498	369.27942	-45.48720	23.91353	155.84676
37	-86.73439	351.73257	-56.05696	-8.43758	130.62152
38	-112.34510	336.41843	-59.35943	-38.06816	109.19032
39	-129.99075	324.11844	-56.50027	-63.75744	92.77733
40	-139.01454	314.55127	-48.96664	-84.81408	81.61271
41	-139.41278	306.45416	-38.13694	-100.87775	74.99602
42	-131.94484	298.24414	-25.22922	-111.79709	71.72247
43	-118.04673	288.55423	-11.43774	-117.74065	70.61793
44	-99.60916	276.51862	1.92909	-119.30565	70.75418
45	-78.88897	261.88834	13.46914	-117.41263	71.24318
46	-58.27595	244.85077	22.10643	-113.05416	71.11690
47	-39.61806	225.80954	27.50645	-107.05255	69.61508
48	-23.70346	205.28914	29.91875	-99.95638	66.47025
49	-10.50299	183.85739	29.79997	-92.17181	61.80516
50	0.31969	162.08763	27.67360	-84.09081	55.90776
51	9.13728	140.53644	24.07558	-75.98779	49.14707
52	16.23883	119.67575	19.46591	-67.97980	41.89876
53	21.80360	99.85061	14.21669	-60.18356	34.44896
54	25.94505	81.30392	8.65867	-52.78885	26.98447
55	28.76326	64.20916	3.08152	-45.98959	19.63618
56	30.38821	48.68263	-2.28666	-39.90852	12.51905
57	30.98191	34.79266	-7.25953	-34.57059	5.76000
58	30.70303	22.57147	-11.66055	-29.92736	-0.50921
59	29.68534	12.02738	-15.32793	-25.89493	-6.16673
60	28.04132	3.15327	-18.14174	-22.37269	-11.09464
61	25.87374	-4.07117	-20.04197	-19.25913	-15.18904
62	23.29107	-9.68727	-21.03379	-16.47449	-18.38941
63	20.41451	-13.77210	-21.17776	-13.97283	-20.69613
64	17.36416	-16.44270	-20.56753	-11.73505	-22.16686
65	14.24007	-17.84283	-19.30694	-9.75176	-22.89516
66	11.11745	-18.12521		-8.00968	-22.98633
67		-17.44012		-6.48776	-22.54334
