	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d
	PelvisPower	PelvisPower	PelvisPower	PelvisPower	PelvisPower
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Z	Z	Z	Z	Z
1	352.73361	408.98361	408.66644	398.50513	356.26135
2	352.27979	423.72412	425.76794	406.86804	361.42517
3	349.06873	437.86795	441.02155	413.08044	365.89233
4	343.11435	450.99002	454.17004	416.83936	369.54980
5	334.66519	462.76587	464.99261	417.95251	372.24084
6	324.08020	472.93143	473.24097	416.34949	373.72949
7	311.67389	481.15872	478.57892	412.02246	373.69238
8	297.63297	486.99731	480.59375	404.94299	371.73694
9	282.00748	489.92078	478.87030	395.02515	367.44238
10	264.74060	489.42593	473.06580	382.15552	360.43018
11	245.71185	485.11078	462.97552	366.24536	350.43396
12	224.78293	476.69208	448.59924	347.27258	337.33923
13	201.82803	463.98904	430.17072	325.30762	321.19873
14	176.74570	446.92163	408.12598	300.52417	302.23560
15	149.48495	425.53784	383.04608	273.20178	280.83154
16	120.09210	400.05637	355.59424	243.73083	257.50598
17	88.75162	370.91049	326.43872	212.60828	232.88135
18	55.80066	338.76294	296.16669	180.41187	207.61084
19	21.70886	304.44809	265.21436	147.75366	182.27795
20	-12.97595	268.85513	233.84271	115.22461	157.30188
21	-47.69568	232.81116	202.17590	83.35242	132.88733
22	-81.93549	197.00552	170.28436	52.59143	109.03784
23	-115.25227	161.96548	138.27283	23.33862	85.62793
24	-147.28001	128.06793	106.33795	-4.04590	62.51282
25	-177.71574	95.55927	74.78516	-29.22815	39.62915
26	-206.28479	64.57413	44.01385	-51.90771	17.04871
27	-232.69154	35.16010	14.48376	-71.83850	-5.02075
28	-256.57230	7.31296	-13.32642	-88.85022	-26.27185
29	-277.47562	-18.98450	-38.95239	-102.85828	-46.34448
30	-294.88406	-43.72659	-61.96155	-113.86011	-64.87292
31	-308.26660	-66.85001	-81.96851	-121.91980	-81.52563
32	-317.13348	-88.19754	-98.66693	-127.15002	-96.02466
33	-321.08832	-107.49094	-111.87915	-129.70435	-108.14783
34	-319.89417	-124.33765	-121.60693	-129.78369	-117.73096
35	-313.55872	-138.29779	-128.05945	-127.65173	-124.68628
36	-302.40372	-149.01178	-131.63562	-123.64978	-129.04468
37	-287.07492	-156.33875	-132.86115	-118.18811	-130.99170
38	-268.47552	-160.41782	-132.30243	-111.70911	-130.86230
39	-247.65176	-161.61560	-130.48413	-104.64746	-129.09326
40	-225.67487	-160.42017	-127.85150	-97.40649	-126.15588
41	-203.54373	-157.34705	-124.79633	-90.34644	-122.49829
42	-182.11684	-152.87445	-121.69092	-83.77246	-118.52014
43	-162.07948	-147.42905	-118.87274	-77.91602	-114.58875
44	-143.94960	-141.41718	-116.60260	-72.92334	-111.05249
45	-128.10364	-135.23566	-115.05176	-68.86450	-108.21741
46	-114.79456	-129.23804	-114.32483	-65.75488	-106.32324
47	-104.14969	-123.70544	-114.47656	-63.57397	-105.54089
48	-96.17474	-118.84229	-115.50366	-62.27112	-105.97681
49	-90.77951	-114.77579	-117.33276	-61.76941	-107.67468
50	-87.80092	-111.55453	-119.81909	-61.97583	-110.61414
51	-87.00879	-109.14618	-122.75244	-62.78833	-114.70972
52	-88.11673	-107.43573	-125.86890	-64.09033	-119.81250
53	-90.80403	-106.23383	-128.86560	-65.73950	-125.72290
54	-94.72925	-105.29971	-131.42407	-67.56238	-132.21460
55	-99.52965	-104.36942	-133.25415	-69.36633	-139.05029
56	-104.82239	-103.17664	-134.13568	-70.96838	-145.98596
57	-110.21501	-101.46021	-133.91418	-72.22107	-152.78625
58	-115.33295	-98.97192	-132.46344	-73.02234	-159.24634
59	-119.86095	-95.50607	-129.67847	-73.31348	-165.19934
60	-123.57660	-90.93402	-125.51532	-73.07837	-170.51929
61	-126.36066	-85.21317	-120.02338	-72.33984	-175.13916
62	-128.18434	-78.36984	-113.32751	-71.14575	-179.05139
63	-129.07481	-70.47180	-105.59766	-69.55017	-182.27319
64	-129.07492	-61.60995	-97.05164	-67.60535	-184.81897
65	-128.22511	-51.89899	-87.96509	-65.36182	-186.69556
66	-126.56223	-41.48428		-62.86279	-187.90515
67		-30.53305		-60.14465	-188.43811
