	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d
	PowerALL	PowerALL	PowerALL	PowerMAG	Foot Contact	Release	Release100msAfter	CenterOfMassVelocity2	CenterOfMassVelocity2	CenterOfMassVelocity2	PowerALL	PowerALL	PowerALL	PowerMAG	Foot Contact	Release	Release100msAfter	CenterOfMassVelocity2	CenterOfMassVelocity2	CenterOfMassVelocity2	PowerALL	PowerALL	PowerALL	PowerMAG	Foot Contact	Release	Release100msAfter	CenterOfMassVelocity2	CenterOfMassVelocity2	CenterOfMassVelocity2	PowerALL	PowerALL	PowerALL	PowerMAG	Foot Contact	Release	Release100msAfter	CenterOfMassVelocity2	CenterOfMassVelocity2	CenterOfMassVelocity2	PowerALL	PowerALL	PowerALL	PowerMAG	Foot Contact	Release	Release100msAfter	CenterOfMassVelocity2	CenterOfMassVelocity2	CenterOfMassVelocity2
	DERIVED	DERIVED	DERIVED	DERIVED	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	DERIVED	DERIVED	DERIVED	DERIVED	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	DERIVED	DERIVED	DERIVED	DERIVED	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	DERIVED	DERIVED	DERIVED	DERIVED	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC	DERIVED	DERIVED	DERIVED	DERIVED	EVENT_LABEL	EVENT_LABEL	EVENT_LABEL	KINETIC_KINEMATIC	KINETIC_KINEMATIC	KINETIC_KINEMATIC
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	Model	Model	Model	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	Model	Model	Model	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	Model	Model	Model	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	Model	Model	Model	PROCESSED	PROCESSED	PROCESSED	PROCESSED	ORIGINAL	ORIGINAL	ORIGINAL	Model	Model	Model
ITEM	X	Y	Z	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	X	X	Y	Z	X	Y	Z	X	X	X	X	X	Y	Z
1					1.52333	1.64000	1.74000								1.59333	1.71333	1.81333								1.81333	1.92667	2.02667								1.47333	1.59333	1.69333								1.58333	1.70333	1.80333			
2	-0.28686	-0.42035	-11.53092	14.41727				-0.01325	-0.01606	-0.02801	-0.05245	-0.72059	-9.81020	13.55003				-0.00189	-0.02155	-0.02295	0.50700	-0.23011	3.88061	7.80236				0.01064	-0.00452	0.00669	-0.35279	-1.50227	-15.30348	47.46127				-0.08503	-0.08522	-0.04106	-1.19424	-0.40450	-19.29239	24.36807				-0.03291	-0.01417	-0.04724
3	-0.33409	-0.49476	-12.11452	15.92662				-0.01630	-0.01902	-0.02957	-0.08700	-0.73302	-10.29684	14.11449				-0.00317	-0.02223	-0.02421	0.50312	-0.23187	4.17715	7.95263				0.01061	-0.00456	0.00720	-0.29639	-1.58247	-14.42553	48.68982				-0.08626	-0.08941	-0.03859	-1.10175	-0.41381	-18.26677	23.07854				-0.03090	-0.01462	-0.04502
4	-0.37443	-0.56903	-12.66482	17.46642				-0.01937	-0.02200	-0.03107	-0.12546	-0.74865	-10.79946	14.74876				-0.00464	-0.02303	-0.02553	0.49654	-0.23382	4.41673	8.05462				0.01053	-0.00459	0.00761	-0.24304	-1.66749	-13.57327	50.04316				-0.08757	-0.09370	-0.03619	-1.01600	-0.42567	-17.30764	21.89730				-0.02903	-0.01518	-0.04298
5	-0.40728	-0.64162	-13.16351	18.99921				-0.02246	-0.02497	-0.03245	-0.16706	-0.76691	-11.30142	15.43882				-0.00626	-0.02395	-0.02688	0.48689	-0.23523	4.59458	8.09597				0.01037	-0.00462	0.00791	-0.19280	-1.75693	-12.75174	51.51041				-0.08896	-0.09805	-0.03387	-0.93834	-0.43948	-16.43438	20.85029				-0.02736	-0.01583	-0.04115
6	-0.43204	-0.71104	-13.59712	20.49271				-0.02554	-0.02787	-0.03369	-0.21107	-0.78745	-11.78958	16.17329				-0.00803	-0.02497	-0.02822	0.47393	-0.23581	4.70852	8.06926				0.01015	-0.00462	0.00810	-0.14581	-1.85059	-11.96694	53.08334				-0.09043	-0.10242	-0.03165	-0.86965	-0.45495	-15.66006	19.95571				-0.02593	-0.01656	-0.03957
