	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d
	PowerMAG	PowerMAG	PowerMAG	PowerMAG	PowerMAG
	DERIVED	DERIVED	DERIVED	DERIVED	DERIVED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	X	X	X	X
1	3793.44482	3914.35815	4190.10205	3762.92651	3745.54395
2	3957.21460	4088.64307	4314.92285	3935.42139	3934.09229
3	4091.86523	4233.90332	4409.99854	4077.06958	4093.90771
4	4199.45654	4352.03320	4479.40430	4188.45801	4225.18213
5	4283.32324	4446.15479	4527.86670	4272.69971	4330.33594
6	4347.34961	4519.76514	4559.98340	4334.07666	4412.87549
7	4395.45898	4576.28760	4579.80859	4377.13818	4476.60986
8	4431.13916	4618.76123	4590.73828	4406.11230	4525.12158
9	4457.25049	4649.69531	4595.51270	4424.59961	4561.51514
10	4476.06201	4671.10156	4596.18652	4435.52637	4588.34033
11	4489.29248	4684.60889	4594.02881	4441.21387	4607.55322
12	4498.10205	4691.49072	4589.54297	4443.45361	4620.63770
13	4503.13379	4692.66211	4582.68262	4443.52148	4628.78320
14	4504.73438	4688.74951	4573.15674	4442.17969	4632.82910
15	4503.22705	4680.19775	4560.69482	4439.74365	4633.12598
16	4498.83594	4667.33740	4545.14453	4436.18408	4629.62646
17	4491.45117	4650.49805	4526.31152	4431.17188	4622.13818
18	4480.75439	4630.07568	4503.76611	4424.18750	4610.48096
19	4466.49561	4606.42139	4476.91602	4414.66406	4594.49951
20	4448.59082	4579.70459	4445.19580	4401.98828	4573.96582
21	4427.02148	4549.80859	4408.01514	4385.48389	4548.49902
22	4401.58447	4516.29102	4364.58203	4364.41992	4517.54297
23	4371.72949	4478.48193	4313.93799	4338.02051	4480.45264
24	4336.66553	4435.69092	4255.14893	4305.50879	4436.55225
25	4295.51318	4387.33398	4187.37793	4266.17969	4385.15820
26	4247.38086	4332.88770	4109.85889	4219.42676	4325.61768
27	4191.40967	4271.81201	4021.94141	4164.77051	4257.33398
28	4126.80078	4203.55811	3923.22021	4101.92236	4179.83008
29	4052.85645	4127.60693	3813.63623	4030.85693	4092.83105
30	3969.09790	4043.49146	3693.54492	3951.86353	3996.30225
31	3875.40625	3950.88696	3563.79443	3865.51953	3890.50537
32	3772.06909	3849.81445	3425.76099	3772.58057	3776.12598
33	3659.75708	3740.84448	3281.33179	3673.93115	3654.30688
34	3539.59888	3625.16260	3132.83472	3570.64282	3526.53345
35	3413.26978	3504.50952	2982.80811	3464.04297	3394.56055
36	3282.84473	3381.05176	2833.67944	3355.72729	3260.39307
37	3150.44507	3257.12012	2687.50269	3247.43945	3126.17798
38	3017.93457	3134.86719	2545.83716	3140.81421	2993.97168
39	2886.79443	3016.02783	2409.71875	3037.19702	2865.51392
40	2758.11255	2901.85596	2279.60425	2937.52344	2742.13477
41	2632.66895	2793.26685	2155.32812	2842.14282	2624.74780
42	2511.05469	2691.01660	2036.27148	2750.77002	2513.74219
43	2393.75098	2595.53296	1921.73914	2662.74683	2408.79956
44	2281.15723	2506.52563	1811.23755	2577.39746	2309.00513
45	2173.61523	2423.05542	1704.53381	2494.22754	2213.27417
46	2071.34766	2344.01001	1601.64001	2412.95801	2120.70239
47	1974.34167	2268.41309	1502.83057	2333.47852	2030.70691
48	1882.42480	2195.48730	1408.62964	2255.85938	1943.08716
49	1795.53162	2124.71802	1319.69775	2180.40845	1858.03955
50	1713.83813	2055.93530	1236.67822	2107.65308	1776.09729
51	1637.70874	1989.29712	1160.11487	2038.27771	1698.04578
52	1567.64294	1925.17419	1090.43457	1973.06824	1624.88403
53	1504.28613	1864.06677	1027.93677	1912.77954	1557.83801
54	1448.41748	1806.60828	972.81342	1858.04626	1498.33130
55	1400.82019	1753.54517	925.19592	1809.53027	1447.84009
56	1362.11487	1705.62622	885.13159	1768.13831	1407.62073
57	1332.69336	1663.45239	852.46405	1734.96143	1378.43787
58	1312.70691	1627.35303	826.75726	1710.99390	1360.39783
59	1301.99194	1597.34839	807.38263	1696.89050	1352.91418
60	1299.99780	1573.18469	793.67078	1692.84119	1354.82800
61	1305.82947	1554.38562	784.98859	1698.51233	1364.61926
62	1318.37683	1540.27417	780.75232	1713.04578	1380.56628
63	1336.43823	1529.97607	780.43732	1735.09985	1400.82019
64	1358.76111	1522.44250	783.60907	1762.95996	1423.49695
65	1384.05603	1516.52539	789.95209	1794.69336	1446.83557
66	1411.07410	1511.06433		1828.29529	1469.34619
67		1504.96191		1861.81091	1489.86072
