	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 2.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 3.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 4.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 5.c3d	H:\Pitching\Data\Vennaro, Zach 10-25\Baseball Right-handed\Fastball RH 6.c3d
	ShoulderPowerRectified	ShoulderPowerRectified	ShoulderPowerRectified	ShoulderPowerRectified	ShoulderPowerRectified
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	Z	Z	Z	Z	Z
1	129.45586	165.52969	122.21281	115.89896	172.79645
2	115.33120	153.64780	105.90015	109.63496	161.43689
3	98.78870	139.22037	88.37454	101.40853	147.57980
4	80.39087	122.86347	70.28442	91.56434	131.69168
5	60.79213	105.22350	52.28592	80.51056	114.29736
6	40.70329	86.96346	35.01102	68.67548	95.97836
7	20.87471	68.74645	19.04161	56.49500	77.35452
8	2.04692	51.21059	4.86865	44.39459	59.02908
9	15.08829	34.90884	7.12688	32.75884	41.53741
10	29.90390	20.24989	16.66745	21.92600	25.33224
11	41.87622	7.54192	23.62692	12.20625	10.77597
12	50.66117	2.93496	28.12857	3.83205	1.91055
13	56.16692	11.06201	30.55513	3.15558	12.68634
14	58.59931	17.10170	31.51099	8.95712	21.68970
15	58.41838	21.64201	31.84912	14.00432	29.27383
16	56.19899	25.42851	32.63867	18.92137	36.00391
17	52.56984	29.40374	35.00810	24.44910	42.58371
18	48.24478	34.75031	39.99909	31.39476	49.81235
19	43.99301	42.76829	48.48674	40.59874	58.54260
20	40.59835	54.75356	61.15961	52.86407	69.61127
21	38.88177	71.95199	78.52594	68.88885	83.78360
22	39.65803	95.55508	100.89719	89.23259	101.71600
23	43.61577	126.71248	128.39970	114.29280	123.93726
24	51.29227	166.52742	161.02840	144.28658	150.83896
25	63.13714	216.03021	198.67833	179.23679	182.67825
26	79.54364	276.13336	241.14566	218.96878	219.59979
27	100.82374	347.56195	288.12396	263.13498	261.64520
28	127.16824	430.79385	339.21973	311.24109	308.73483
29	158.66202	526.04059	394.03888	362.64172	360.65359
30	195.35202	633.22418	452.45013	416.52142	417.06927
31	237.31334	751.95636	515.05750	471.92749	477.62848
32	284.82825	881.60236	583.69293	527.95917	542.16736
33	338.84567	1021.45374	661.37207	584.18958	610.97998
34	401.39539	1170.97229	751.28033	641.35364	685.28278
35	475.23889	1329.83716	855.44446	701.96704	767.65521
36	562.76685	1497.48425	973.91412	769.92279	861.34106
37	665.03662	1672.36340	1104.22803	848.80725	968.42517
38	781.26465	1851.39331	1241.12195	940.18628	1088.45923
39	908.54834	2029.62695	1376.95398	1042.86304	1218.10388
40	1042.13440	2199.97949	1502.82361	1153.06641	1351.42664
41	1176.12622	2353.28296	1610.26392	1265.17554	1480.55811
42	1303.93359	2479.20557	1692.98572	1372.47107	1596.65625
43	1418.66785	2568.63843	1747.78027	1468.00671	1691.79956
44	1513.83936	2616.51440	1774.27490	1545.86255	1761.07678
45	1584.18286	2622.44653	1773.70288	1602.10767	1802.80249
46	1626.58093	2589.34717	1747.93787	1634.91406	1817.19080
47	1640.53967	2522.13892	1699.54626	1644.27258	1805.66455
48	1627.73901	2426.68091	1631.74646	1631.55383	1770.88770
49	1591.34326	2308.79785	1548.15039	1598.67407	1716.10864
50	1535.44226	2173.99072	1452.77319	1547.67065	1644.52808
51	1464.26807	2027.48535	1349.64966	1481.16821	1559.65784
52	1381.47986	1874.08569	1242.25378	1402.36804	1465.29688
53	1290.07849	1717.94910	1133.52734	1314.37341	1364.76721
54	1192.64673	1562.49854	1026.10791	1220.07507	1260.70923
55	1091.58496	1410.46802	922.28436	1122.37036	1155.36035
56	989.43268	1264.03027	823.82581	1023.93750	1050.68262
57	888.91553	1124.94141	732.02179	926.91382	948.42120
58	792.58252	994.64471	648.04956	832.97827	850.12390
59	702.54742	874.32751	573.07678	743.59399	757.23267
60	620.47430	764.93433	507.93097	660.06866	671.25488
61	547.60492	667.13922	452.88953	583.45990	593.64044
62	484.78412	581.28632	407.70844	514.46307	525.50970
63	432.49994	507.33353	371.70490	453.39267	467.55731
64	390.92966	444.85727	343.86890	400.23245	420.05206
65	359.98114	393.11920	322.96454	354.67020	382.87921
66	339.34222	351.12415		316.16644	355.63116
67		317.67386		284.05884	337.68488
